,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
6836,lMBm,20,21,0.51,41,0.6699999999999999,6,0.6,5,0.6699999999999999,6,0.5,4,0.6,5,0.6153846153846154,26
6848,lMPN,27,29,0.52,56,0.73,11,0.54,13,0.75,8,0.5,14,0.6699999999999999,21,0.6268656716417911,67
6868,lMnB,17,24,0.5900000000000001,41,0.5,10,0.71,7,0.7,10,0.6,10,0.62,13,0.62,50
6875,lMsH,15,18,0.55,33,0.6699999999999999,3,0.5,4,0.64,11,0.6,5,0.88,8,0.6774193548387096,31
6887,lNMP,27,28,0.51,55,0.6699999999999999,6,0.71,7,0.5,16,0.5900000000000001,22,0.64,14,0.6,65
6910,lNbS,9,14,0.61,23,0.6699999999999999,3,0.5,6,0.56,9,0.75,4,0.6699999999999999,3,0.6,25
6948,lPSM,11,23,0.6799999999999999,34,0.6699999999999999,6,0.6699999999999999,3,0.5700000000000001,7,0.73,11,0.5,14,0.6097560975609756,41
6958,lPmM,25,31,0.55,56,0.53,15,0.5700000000000001,14,0.69,13,0.5,18,0.55,20,0.5625,80
6972,lSBM,9,15,0.62,24,0.6699999999999999,3,0.5,2,0.75,4,0.5,2,0.5,4,0.6,15
6977,lSMS,14,22,0.61,36,0.75,4,0.5700000000000001,7,0.8,5,0.5,8,0.75,4,0.6428571428571429,28
7004,lSsS,20,31,0.61,51,0.6699999999999999,6,0.71,7,0.5,8,0.8200000000000001,11,0.5700000000000001,7,0.6666666666666666,39
7019,lbPB,20,25,0.56,45,0.71,7,0.71,7,0.6,20,0.5,12,0.5800000000000001,19,0.6,65
7040,lmLN,10,12,0.55,22,1.0,1,0.5,4,0.8,5,0.5,4,0.5,2,0.625,16
7075,lnMM,15,21,0.5800000000000001,36,0.5,8,0.5,6,0.5,4,0.56,9,0.8,10,0.5945945945945946,37
7099,lsBn,15,15,0.5,30,1.0,4,0.6699999999999999,3,1.0,2,0.75,4,0.6699999999999999,3,0.8125,16
